Date	species	surfaceom_cover	surfaceom_wt	cover_green	cover_tot	residue_cover	phenology	gai	dai	lai	rtdep	stress_index	npp	growth	incorp_rate[1][1]	incorp_rate[1][2]	incorp_rate[1][3]	incorp_rate[1][4]	incorp_rate[1][5]	incorp_rate[1][6]	incorp_rate[1][7]	incorp_rate[1][8]	incorp_rate[1][9]	incorp_rate[1][10]	incorp_rate[1][11]	incorp_rate[1][12]	incorp_rate[2][1]	incorp_rate[2][2]	incorp_rate[2][3]	incorp_rate[2][4]	incorp_rate[2][5]	incorp_rate[2][6]	incorp_rate[2][7]	incorp_rate[2][8]	incorp_rate[2][9]	incorp_rate[2][10]	incorp_rate[2][11]	incorp_rate[2][12]	sw_dep[1]	sw_dep[2]	sw_dep[3]	sw_dep[4]	sw_dep[5]	sw_dep[6]	total_soil_water	sw_uptake[1]	sw_uptake[2]	sw_uptake[3]	sw_uptake[4]	sw_uptake[5]	sw_uptake[6]	glf_gai	glf_vpd	glf_sm	glf_tmp	glf_wl	glf_nitr	total_nh4	total_no3	total_n	nh4[1]	nh4[2]	nh4[3]	nh4[4]	nh4[5]	nh4[6]	no3[1]	no3[2]	no3[3]	no3[4]	no3[5]	no3[6]	uptake_nh4[1]	uptake_nh4[2]	uptake_nh4[3]	uptake_nh4[4]	uptake_nh4[5]	uptake_nh4[6]	uptake_no3[1]	uptake_no3[2]	uptake_no3[3]	uptake_no3[4]	uptake_no3[5]	uptake_no3[6]	height	farm.pasture01.ryegrass.green_n
		m^2/m^2	kg/ha	m^2/m^2	m^2/m^2	m^2/m^2	-	m^2/m^2	m^2/m^2	m^2/m^2	mm	-	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	-	-	-	-	-	-	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	kg/ha/d	mm	g/g
1990-08-01	Perennial Ryegrass	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.8	20.8	20.7	34.8	54.1	58.0	209.27	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	70.04	70.04	0.00	0.00	0.00	0.00	0.00	0.00	32.12	17.91	6.67	4.48	4.37	4.50	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	0.00
1990-08-02	Perennial Ryegrass	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.8	23.7	22.3	35.6	54.5	58.2	219.18	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	69.90	69.90	0.00	0.00	0.00	0.00	0.00	0.00	25.98	21.13	8.85	4.98	4.44	4.52	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	0.00
1990-08-03	Perennial Ryegrass	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.3	23.8	23.3	36.5	55.1	58.6	217.45	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	69.72	69.72	0.00	0.00	0.00	0.00	0.00	0.00	22.60	21.53	10.69	5.77	4.58	4.55	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	0.00
1990-08-04	Perennial Ryegrass	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.8	24.0	24.0	37.3	55.8	59.1	220.90	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	69.45	69.45	0.00	0.00	0.00	0.00	0.00	0.00	19.41	21.57	12.30	6.78	4.81	4.59	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	0.00
1990-08-05	Perennial Ryegrass	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.2	24.2	24.5	38.0	56.4	59.6	223.89	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	69.09	69.09	0.00	0.00	0.00	0.00	0.00	0.00	16.58	21.16	13.63	7.93	5.13	4.65	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	0.00
1990-08-06	Perennial Ryegrass	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.3	23.2	24.4	38.3	57.0	60.2	221.36	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	68.72	68.72	0.00	0.00	0.00	0.00	0.00	0.00	15.16	20.01	14.28	9.02	5.53	4.72	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	0.00
1990-08-07	Perennial Ryegrass	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.9	21.1	23.8	38.3	57.3	60.6	218.07	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	68.35	68.35	0.00	0.00	0.00	0.00	0.00	0.00	15.25	18.17	14.34	9.85	5.94	4.80	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	0.00
1990-08-08	Perennial Ryegrass	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.5	19.9	22.8	37.9	57.3	60.9	215.32	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	68.02	68.02	0.00	0.00	0.00	0.00	0.00	0.00	15.53	17.06	13.91	10.34	6.30	4.89	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	0.00
1990-08-09	Perennial Ryegrass	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.3	19.6	22.0	37.3	57.1	61.0	213.39	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	67.70	67.70	0.00	0.00	0.00	0.00	0.00	0.00	15.26	16.73	13.56	10.61	6.58	4.96	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	0.00
