Date	cover_green	cover_tot
	m^2/m^2	m^2/m^2
1990-08-01	0.00	0.00
1990-09-01	0.00	0.00
1990-10-01	0.08	0.08
1990-11-01	0.34	0.34
1990-12-01	0.53	0.53
1991-01-01	0.55	0.55
1991-02-01	0.64	0.67
1991-03-01	0.62	0.66
1991-04-01	0.43	0.61
1991-05-01	0.41	0.61
1991-06-01	0.51	0.66
1991-07-01	0.65	0.72
1991-08-01	0.70	0.74
1991-09-01	0.73	0.76
1991-10-01	0.79	0.82
1991-11-01	0.79	0.86
1991-12-01	0.19	0.88
1992-01-01	0.08	0.78
1992-02-01	0.29	0.69
