Date	cover_green	cover_tot
	m^2/m^2	m^2/m^2
1990-08-01	0.00	0.00
1990-09-01	0.00	0.00
1990-10-01	0.08	0.08
1990-11-01	0.35	0.35
1990-12-01	0.63	0.63
1991-01-01	0.69	0.69
1991-02-01	0.75	0.77
1991-03-01	0.68	0.73
1991-04-01	0.44	0.68
1991-05-01	0.42	0.67
1991-06-01	0.56	0.73
1991-07-01	0.77	0.82
1991-08-01	0.82	0.85
1991-09-01	0.85	0.87
1991-10-01	0.95	0.96
1991-11-01	0.95	0.97
1991-12-01	0.36	0.98
1992-01-01	0.17	0.94
1992-02-01	0.61	0.92
