Date	cover_green	cover_tot
	m^2/m^2	m^2/m^2
1990-08-01	0.00	0.00
1990-09-01	0.00	0.00
1990-10-01	0.08	0.08
1990-11-01	0.35	0.35
1990-12-01	0.55	0.56
1991-01-01	0.56	0.57
1991-02-01	0.64	0.68
1991-03-01	0.61	0.66
1991-04-01	0.41	0.61
1991-05-01	0.40	0.61
1991-06-01	0.54	0.69
1991-07-01	0.77	0.82
1991-08-01	0.84	0.86
1991-09-01	0.87	0.89
1991-10-01	0.96	0.96
1991-11-01	0.95	0.97
1991-12-01	0.34	0.98
1992-01-01	0.16	0.94
1992-02-01	0.60	0.92
